Comment,Designator,Footprint,LCSC Part #
1.0k,L1 L2 L3 SW1 SW2 R42 R43,R0603,
1N5819HW,D1 D2,SOD123,
1u,C15 C27,C0603,
2.2k,R24 R25,R0603,
2.2u,C19 C22,C0805,
4.7,R1,R1206,
4.7k,R6,R0603,
4.7n,C7 C8 C12 C14,C0603,
6.8k,R29 R34 R36 R39,R0603,
8MHz,Q1,HC49UP,
10k,R2 R14,R0603,
10u,C23 C29 C32 C36 C37 C39 C43,PANASONIC_A,
12.288MHz,Q2,HC49UP,
18p,C10 C11 C26 C35 C38 C41,C0603,
33k,R15 R16,R0603,
36k,R12 R13 R37 R38,R0603,
47k,R28 R30 R31 R33,R0603,
47u,C1 C2 C3 C4,PANASONIC_D,
100,R3 R4 R5,R0603,
100k,R8 R9 R17 R18,R0603,
100n,C5 C6 C9 C13 C16 C17 C18 C20 C21 C24 C25 C28 C30 C31 C33 C34 C40 C42,C0603,
120k,R10 R11,R0603,
180,R21 R22,R0603,
200k,R19 R20 R32 R35,R0603,
220p,C44 C45,C0603,
BAT54S,D3,SOT23,
DNP,R40 R41,R0603,
FIDUCIAL1X2,F1 F2 F3 F4,FIDUCIAL-1X2,
LM1117-3.3,IC1,TO252,
LM4040B10,IC2,DBZ_R-PDSO-G3,
MCP6004,IC3,SO14,
STM32F405RGT6,IC4,TQFP-10X10-64,
TEST-POINT3X5,TP1 TP2 TP3 TP4,PAD.03X.05,
TL072,IC6,SO08,
WM8731,IC5,SSOP28,
